"","Sex","ag","n_draw","prob_symptoms_str"
"520","Female","35-49",44,0.264738320628134
"521","Female","50+",44,0.31768598475376
"522","Female","<2",44,0.0529476641256267
"523","Male","15-24",44,0.15884299237688
"524","Male","2-14",44,0.105895328251253
"525","Male","25-34",44,0.211790656502507
"526","Male","35-49",44,0.264738320628134
"527","Male","50+",44,0.31768598475376
"528","Male","<2",44,0.0529476641256267
"529","Female","15-24",45,0.552528615323256
"530","Female","2-14",45,0.368352410215504
"531","Female","25-34",45,0.736704820431007
"532","Female","35-49",45,0.920881025538759
"533","Female","50+",45,1
"534","Female","<2",45,0.184176205107752
"535","Male","15-24",45,0.552528615323256
"536","Male","2-14",45,0.368352410215504
"537","Male","25-34",45,0.736704820431007
"538","Male","35-49",45,0.920881025538759
"539","Male","50+",45,1
"540","Male","<2",45,0.184176205107752
"541","Female","15-24",46,0.184066052516789
"542","Female","2-14",46,0.122710701677859
"543","Female","25-34",46,0.245421403355719
"544","Female","35-49",46,0.306776754194648
"545","Female","50+",46,0.368132105033578
"546","Female","<2",46,0.0613553508389297
"547","Male","15-24",46,0.184066052516789
"548","Male","2-14",46,0.122710701677859
"549","Male","25-34",46,0.245421403355719
"550","Male","35-49",46,0.306776754194648
"551","Male","50+",46,0.368132105033578
"552","Male","<2",46,0.0613553508389297
"553","Female","15-24",47,0.18901360895584
"554","Female","2-14",47,0.126009072637227
"555","Female","25-34",47,0.252018145274453
"556","Female","35-49",47,0.315022681593067
"557","Female","50+",47,0.37802721791168
"558","Female","<2",47,0.0630045363186134
"559","Male","15-24",47,0.18901360895584
"560","Male","2-14",47,0.126009072637227
"561","Male","25-34",47,0.252018145274453
"562","Male","35-49",47,0.315022681593067
"563","Male","50+",47,0.37802721791168
"564","Male","<2",47,0.0630045363186134
"565","Female","15-24",48,0.23286476333426
"566","Female","2-14",48,0.155243175556174
"567","Female","25-34",48,0.310486351112347
"568","Female","35-49",48,0.388107938890434
"569","Female","50+",48,0.465729526668521
"570","Female","<2",48,0.0776215877780868
"571","Male","15-24",48,0.23286476333426
"572","Male","2-14",48,0.155243175556174
"573","Male","25-34",48,0.310486351112347
"574","Male","35-49",48,0.388107938890434
"575","Male","50+",48,0.465729526668521
"576","Male","<2",48,0.0776215877780868
"577","Female","15-24",49,0.220957025857806
"578","Female","2-14",49,0.147304683905204
"579","Female","25-34",49,0.294609367810408
"580","Female","35-49",49,0.36826170976301
"581","Female","50+",49,0.441914051715612
"582","Female","<2",49,0.073652341952602
"583","Male","15-24",49,0.220957025857806
"584","Male","2-14",49,0.147304683905204
"585","Male","25-34",49,0.294609367810408
"586","Male","35-49",49,0.36826170976301
"587","Male","50+",49,0.441914051715612
"588","Male","<2",49,0.073652341952602
"589","Female","15-24",50,0.186231370591606
"590","Female","2-14",50,0.124154247061071
"591","Female","25-34",50,0.248308494122141
"592","Female","35-49",50,0.310385617652676
"593","Female","50+",50,0.372462741183212
"594","Female","<2",50,0.0620771235305353
"595","Male","15-24",50,0.186231370591606
"596","Male","2-14",50,0.124154247061071
"597","Male","25-34",50,0.248308494122141
"598","Male","35-49",50,0.310385617652676
"599","Male","50+",50,0.372462741183212
"600","Male","<2",50,0.0620771235305353
"601","Female","15-24",51,0.12927430809417
"602","Female","2-14",51,0.0861828720627798
"603","Female","25-34",51,0.17236574412556
"604","Female","35-49",51,0.215457180156949
"605","Female","50+",51,0.258548616188339
"606","Female","<2",51,0.0430914360313899
"607","Male","15-24",51,0.12927430809417
"608","Male","2-14",51,0.0861828720627798
"609","Male","25-34",51,0.17236574412556
"610","Male","35-49",51,0.215457180156949
"611","Male","50+",51,0.258548616188339
"612","Male","<2",51,0.0430914360313899
"613","Female","15-24",52,0.203686578539356
"614","Female","2-14",52,0.135791052359571
"615","Female","25-34",52,0.271582104719142
"616","Female","35-49",52,0.339477630898927
"617","Female","50+",52,0.407373157078713
"618","Female","<2",52,0.0678955261797854
"619","Male","15-24",52,0.203686578539356
"620","Male","2-14",52,0.135791052359571
"621","Male","25-34",52,0.271582104719142
"622","Male","35-49",52,0.339477630898927
"623","Male","50+",52,0.407373157078713
"624","Male","<2",52,0.0678955261797854
"625","Female","15-24",53,0.109915834902207
"626","Female","2-14",53,0.0732772232681381
"627","Female","25-34",53,0.146554446536276
"628","Female","35-49",53,0.183193058170345
"629","Female","50+",53,0.219831669804414
"630","Female","<2",53,0.036638611634069
"631","Male","15-24",53,0.109915834902207
"632","Male","2-14",53,0.0732772232681381
"633","Male","25-34",53,0.146554446536276
"634","Male","35-49",53,0.183193058170345
"635","Male","50+",53,0.219831669804414
"636","Male","<2",53,0.036638611634069
"637","Female","15-24",54,0.176417292366021
"638","Female","2-14",54,0.117611528244014
"639","Female","25-34",54,0.235223056488027
"640","Female","35-49",54,0.294028820610034
"641","Female","50+",54,0.352834584732041
"642","Female","<2",54,0.0588057641220069
"643","Male","15-24",54,0.176417292366021
"644","Male","2-14",54,0.117611528244014
"645","Male","25-34",54,0.235223056488027
"646","Male","35-49",54,0.294028820610034
"647","Male","50+",54,0.352834584732041
"648","Male","<2",54,0.0588057641220069
"649","Female","15-24",55,0.174853709142473
"650","Female","2-14",55,0.116569139428316
"651","Female","25-34",55,0.233138278856631
"652","Female","35-49",55,0.291422848570789
"653","Female","50+",55,0.349707418284947
"654","Female","<2",55,0.0582845697141578
